anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE
179	1	8	0	16	0	15	0	15
186	0	0	0	0	0	0	0	1
183	0	0	0	7	0	6	0	7
193	9	50	20	56	19	56	20	57
180	0	0	0	3	0	4	0	5
160	1	0	1	4	1	5	1	4
166	4	54	20	75	22	72	22	75
178	0	12	0	0	0	0	0	0
188	0	0	0	0	0	0	0	0
190	8	61	14	74	13	74	14	73
170	0	0	1	12	0	10	0	0
197	1	19	7	42	7	39	7	39
181	12	53	15	51	15	51	19	56
199	44	104	67	137	65	136	71	139
160	0	7	0	8	0	9	0	0
203	0	0	0	2	0	2	0	1
151	0	0	0	0	0	0	0	0
163	15	69	14	63	16	67	21	75
169	0	0	1	5	1	4	0	3
206	0	0	0	0	0	0	0	12
182	0	3	0	5	0	4	0	7
188	42	114	55	113	56	109	53	106
183	0	20	0	39	1	36	0	32
193	0	7	0	27	1	28	0	23
179	18	53	27	75	24	74	30	78
159	9	35	23	74	25	72	30	72
182	0	21	0	24	0	18	0	14
175	23	73	22	88	23	87	23	86
