anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE
246	134	151	127	140	127	144	136	153
258	97	109	93	103	93	106	97	112
254	74	88	78	87	78	88	79	89
256	119	144	114	137	115	140	119	142
276	116	130	115	126	116	127	123	130
147	78	96	88	108	89	109	93	109
189	81	89	83	96	84	96	84	96
271	65	77	65	75	64	75	65	77
136	49	66	54	70	54	71	53	71
287	97	122	94	121	96	122	98	124
185	90	100	90	99	90	99	90	98
215	94	99	98	103	99	104	99	104
220	67	87	69	89	70	87	70	92
194	89	100	93	101	93	100	94	102
61	29	36	32	41	32	41	33	41
44	8	14	8	14	9	15	9	17
50	24	26	25	28	25	28	26	28
82	49	57	50	58	50	58	51	58
234	79	86	78	84	78	85	82	88
98	67	72	69	73	70	73	72	75
268	98	110	99	110	101	111	103	112
243	103	115	102	112	102	112	104	114
149	72	80	73	80	73	80	73	80
216	51	81	54	86	54	86	52	86
276	78	94	78	94	79	94	81	99
211	93	101	93	102	92	102	97	107
163	71	77	71	78	70	78	75	80
75	47	54	48	53	48	53	48	54
