fingerTapping_echo2_FWE	fingerTapping_echo2_noFWE	fingerTapping_echo2_anatROI	fingerTapping_echo2_fweAND	fingerTapping_echo2_fweOR	fingerTapping_combTSNR_FWE	fingerTapping_combTSNR_noFWE	fingerTapping_combTSNR_anatROI	fingerTapping_combTSNR_fweAND	fingerTapping_combTSNR_fweOR	fingerTapping_combT2STAR_FWE	fingerTapping_combT2STAR_noFWE	fingerTapping_combT2STAR_anatROI	fingerTapping_combT2STAR_fweAND	fingerTapping_combT2STAR_fweOR	fingerTapping_combTE_FWE	fingerTapping_combTE_noFWE	fingerTapping_combTE_anatROI	fingerTapping_combTE_fweAND	fingerTapping_combTE_fweOR	fingerTapping_combT2STARfit_FWE	fingerTapping_combT2STARfit_noFWE	fingerTapping_combT2STARfit_anatROI	fingerTapping_combT2STARfit_fweAND	fingerTapping_combT2STARfit_fweOR	fingerTapping_T2STARfit_FWE	fingerTapping_T2STARfit_noFWE	fingerTapping_T2STARfit_anatROI	fingerTapping_T2STARfit_fweAND	fingerTapping_T2STARfit_fweOR	emotionProcessing_echo2_FWE	emotionProcessing_echo2_noFWE	emotionProcessing_echo2_anatROI	emotionProcessing_echo2_fweAND	emotionProcessing_echo2_fweOR	emotionProcessing_combTSNR_FWE	emotionProcessing_combTSNR_noFWE	emotionProcessing_combTSNR_anatROI	emotionProcessing_combTSNR_fweAND	emotionProcessing_combTSNR_fweOR	emotionProcessing_combT2STAR_FWE	emotionProcessing_combT2STAR_noFWE	emotionProcessing_combT2STAR_anatROI	emotionProcessing_combT2STAR_fweAND	emotionProcessing_combT2STAR_fweOR	emotionProcessing_combTE_FWE	emotionProcessing_combTE_noFWE	emotionProcessing_combTE_anatROI	emotionProcessing_combTE_fweAND	emotionProcessing_combTE_fweOR	emotionProcessing_combT2STARfit_FWE	emotionProcessing_combT2STARfit_noFWE	emotionProcessing_combT2STARfit_anatROI	emotionProcessing_combT2STARfit_fweAND	emotionProcessing_combT2STARfit_fweOR	emotionProcessing_T2STARfit_FWE	emotionProcessing_T2STARfit_noFWE	emotionProcessing_T2STARfit_anatROI	emotionProcessing_T2STARfit_fweAND	emotionProcessing_T2STARfit_fweOR	fingerTappingImagined_echo2_FWE	fingerTappingImagined_echo2_noFWE	fingerTappingImagined_echo2_anatROI	fingerTappingImagined_echo2_fweAND	fingerTappingImagined_echo2_fweOR	fingerTappingImagined_combTSNR_FWE	fingerTappingImagined_combTSNR_noFWE	fingerTappingImagined_combTSNR_anatROI	fingerTappingImagined_combTSNR_fweAND	fingerTappingImagined_combTSNR_fweOR	fingerTappingImagined_combT2STAR_FWE	fingerTappingImagined_combT2STAR_noFWE	fingerTappingImagined_combT2STAR_anatROI	fingerTappingImagined_combT2STAR_fweAND	fingerTappingImagined_combT2STAR_fweOR	fingerTappingImagined_combTE_FWE	fingerTappingImagined_combTE_noFWE	fingerTappingImagined_combTE_anatROI	fingerTappingImagined_combTE_fweAND	fingerTappingImagined_combTE_fweOR	fingerTappingImagined_combT2STARfit_FWE	fingerTappingImagined_combT2STARfit_noFWE	fingerTappingImagined_combT2STARfit_anatROI	fingerTappingImagined_combT2STARfit_fweAND	fingerTappingImagined_combT2STARfit_fweOR	fingerTappingImagined_T2STARfit_FWE	fingerTappingImagined_T2STARfit_noFWE	fingerTappingImagined_T2STARfit_anatROI	fingerTappingImagined_T2STARfit_fweAND	fingerTappingImagined_T2STARfit_fweOR	emotionProcessingImagined_echo2_FWE	emotionProcessingImagined_echo2_noFWE	emotionProcessingImagined_echo2_anatROI	emotionProcessingImagined_echo2_fweAND	emotionProcessingImagined_echo2_fweOR	emotionProcessingImagined_combTSNR_FWE	emotionProcessingImagined_combTSNR_noFWE	emotionProcessingImagined_combTSNR_anatROI	emotionProcessingImagined_combTSNR_fweAND	emotionProcessingImagined_combTSNR_fweOR	emotionProcessingImagined_combT2STAR_FWE	emotionProcessingImagined_combT2STAR_noFWE	emotionProcessingImagined_combT2STAR_anatROI	emotionProcessingImagined_combT2STAR_fweAND	emotionProcessingImagined_combT2STAR_fweOR	emotionProcessingImagined_combTE_FWE	emotionProcessingImagined_combTE_noFWE	emotionProcessingImagined_combTE_anatROI	emotionProcessingImagined_combTE_fweAND	emotionProcessingImagined_combTE_fweOR	emotionProcessingImagined_combT2STARfit_FWE	emotionProcessingImagined_combT2STARfit_noFWE	emotionProcessingImagined_combT2STARfit_anatROI	emotionProcessingImagined_combT2STARfit_fweAND	emotionProcessingImagined_combT2STARfit_fweOR	emotionProcessingImagined_T2STARfit_FWE	emotionProcessingImagined_T2STARfit_noFWE	emotionProcessingImagined_T2STARfit_anatROI	emotionProcessingImagined_T2STARfit_fweAND	emotionProcessingImagined_T2STARfit_fweOR
910	1812	585	498	1081	914	1838	585	498	1081	922	1840	585	498	1081	1012	2018	585	498	1081	863	1789	585	498	1081	581	1209	585	498	1081	1138	2047	405	312	1271	1089	1860	405	312	1271	1074	1851	405	312	1271	1200	2136	405	312	1271	1032	1840	405	312	1271	327	891	405	312	1271	2413	5284	585	759	2937	2377	5257	585	759	2937	2392	5287	585	759	2937	2752	5979	585	759	2937	2259	5095	585	759	2937	861	2530	585	759	2937	1912	4174	405	585	2361	1940	4002	405	585	2361	1963	3999	405	585	2361	2065	4293	405	585	2361	1860	3929	405	585	2361	664	1846	405	585	2361
540	1278	671	227	640	518	1210	671	227	640	529	1241	671	227	640	578	1295	671	227	640	487	1204	671	227	640	255	827	671	227	640	583	905	432	115	693	624	900	432	115	693	616	924	432	115	693	641	951	432	115	693	596	956	432	115	693	119	349	432	115	693	1496	4222	671	352	2026	1649	4335	671	352	2026	1675	4363	671	352	2026	1818	4750	671	352	2026	1535	4104	671	352	2026	411	2051	671	352	2026	2566	5517	432	648	3632	3120	6369	432	648	3632	3202	6456	432	648	3632	3333	6725	432	648	3632	2800	5986	432	648	3632	720	2235	432	648	3632
1283	2543	623	484	1614	1367	2595	623	484	1614	1383	2658	623	484	1614	1504	2864	623	484	1614	1226	2527	623	484	1614	550	1393	623	484	1614	1244	2526	465	393	1510	1284	2743	465	393	1510	1282	2748	465	393	1510	1416	3103	465	393	1510	1245	2784	465	393	1510	399	1055	465	393	1510	2463	5331	623	812	3235	2713	5511	623	812	3235	2712	5511	623	812	3235	2942	5982	623	812	3235	2674	5472	623	812	3235	896	2798	623	812	3235	1917	5137	465	387	2743	2259	5401	465	387	2743	2268	5399	465	387	2743	2435	5828	465	387	2743	2213	5441	465	387	2743	463	2161	465	387	2743
2286	3484	591	1457	2798	2333	3572	591	1457	2798	2356	3617	591	1457	2798	2596	3996	591	1457	2798	2222	3423	591	1457	2798	1775	3245	591	1457	2798	2108	3341	433	696	2428	2222	3438	433	696	2428	2215	3431	433	696	2428	2314	3585	433	696	2428	2105	3420	433	696	2428	714	1580	433	696	2428	1632	4279	591	426	2954	1721	4376	591	426	2954	1749	4396	591	426	2954	1966	5094	591	426	2954	1564	4293	591	426	2954	1231	4250	591	426	2954	2869	5479	433	957	3643	3063	5599	433	957	3643	3038	5622	433	957	3643	3270	6074	433	957	3643	2926	5560	433	957	3643	1077	2797	433	957	3643
999	1810	648	422	1297	1102	1870	648	422	1297	1105	1916	648	422	1297	1239	2065	648	422	1297	1009	1834	648	422	1297	464	1038	648	422	1297	1334	2552	404	268	1636	1450	2704	404	268	1636	1460	2737	404	268	1636	1511	2951	404	268	1636	1355	2506	404	268	1636	290	995	404	268	1636	2670	5234	648	603	3455	3023	5445	648	603	3455	3007	5467	648	603	3455	3240	5807	648	603	3455	2780	5276	648	603	3455	661	2156	648	603	3455	1845	3634	404	517	2434	2085	3894	404	517	2434	2101	3938	404	517	2434	2210	4185	404	517	2434	1951	3774	404	517	2434	579	1524	404	517	2434
1565	2925	343	839	2158	1795	3133	343	839	2158	1829	3161	343	839	2158	2006	3494	343	839	2158	1585	2925	343	839	2158	1089	2245	343	839	2158	1587	2915	400	651	1963	1723	3151	400	651	1963	1737	3208	400	651	1963	1893	3523	400	651	1963	1585	3044	400	651	1963	690	1525	400	651	1963	3327	5699	343	1724	4408	3526	5862	343	1724	4408	3615	5917	343	1724	4408	4024	6466	343	1724	4408	3330	5617	343	1724	4408	2163	4208	343	1724	4408	1013	2529	400	312	1395	1141	2740	400	312	1395	1157	2799	400	312	1395	1250	3019	400	312	1395	1079	2680	400	312	1395	417	1435	400	312	1395
817	2068	458	321	1080	911	2078	458	321	1080	920	2126	458	321	1080	991	2330	458	321	1080	815	1904	458	321	1080	395	1380	458	321	1080	984	1561	388	236	1109	965	1506	388	236	1109	969	1518	388	236	1109	1034	1621	388	236	1109	940	1511	388	236	1109	242	609	388	236	1109	2035	5409	458	369	2831	2253	5754	458	369	2831	2305	5825	458	369	2831	2391	6074	458	369	2831	2195	5758	458	369	2831	493	2533	458	369	2831	2087	4845	388	465	2747	2311	5342	388	465	2747	2287	5313	388	465	2747	2333	5277	388	465	2747	2043	5009	388	465	2747	504	1582	388	465	2747
387	841	641	222	451	403	802	641	222	451	406	828	641	222	451	429	890	641	222	451	393	892	641	222	451	233	521	641	222	451	107	414	437	3	128	106	414	437	3	128	101	412	437	3	128	109	432	437	3	128	101	483	437	3	128	5	194	437	3	128	3330	7021	641	983	4095	3498	6877	641	983	4095	3483	6839	641	983	4095	3724	7306	641	983	4095	3359	6848	641	983	4095	1070	3316	641	983	4095	1288	2956	437	402	1679	1230	2639	437	402	1679	1236	2632	437	402	1679	1343	2996	437	402	1679	1205	2883	437	402	1679	555	1816	437	402	1679
370	888	351	94	451	353	838	351	94	451	362	840	351	94	451	409	943	351	94	451	338	898	351	94	451	110	406	351	94	451	1118	1778	433	280	1273	1131	1789	433	280	1273	1101	1754	433	280	1273	1156	1941	433	280	1273	1064	1789	433	280	1273	286	717	433	280	1273	746	1983	351	64	951	734	1863	351	64	951	757	1867	351	64	951	744	1895	351	64	951	785	2113	351	64	951	68	427	351	64	951	39	721	433	0	57	32	878	433	0	57	33	882	433	0	57	29	925	433	0	57	31	1019	433	0	57	2	255	433	0	57
969	1636	621	437	1127	1017	1732	621	437	1127	1027	1730	621	437	1127	1087	1867	621	437	1127	985	1779	621	437	1127	465	1026	621	437	1127	933	1670	433	151	1065	921	1617	433	151	1065	917	1596	433	151	1065	989	1754	433	151	1065	898	1632	433	151	1065	159	563	433	151	1065	1976	4845	621	153	2595	2135	4877	621	153	2595	2156	4907	621	153	2595	2354	5276	621	153	2595	1989	4617	621	153	2595	177	1248	621	153	2595	2034	4553	433	303	2601	2155	4739	433	303	2601	2153	4719	433	303	2601	2270	4968	433	303	2601	2119	4721	433	303	2601	324	1325	433	303	2601
