RTecho2_rleftMotor	RTcombinedTSNR_rleftMotor	RTcombinedT2STAR_rleftMotor	RTcombinedTE_rleftMotor	RTcombinedRTt2star_rleftMotor	RTt2starFIT_rleftMotor	RTs0FIT_rleftMotor	RTecho2_rbilateralAmygdala	RTcombinedTSNR_rbilateralAmygdala	RTcombinedT2STAR_rbilateralAmygdala	RTcombinedTE_rbilateralAmygdala	RTcombinedRTt2star_rbilateralAmygdala	RTt2starFIT_rbilateralAmygdala	RTs0FIT_rbilateralAmygdala	RTecho2_rfusiformGyrus	RTcombinedTSNR_rfusiformGyrus	RTcombinedT2STAR_rfusiformGyrus	RTcombinedTE_rfusiformGyrus	RTcombinedRTt2star_rfusiformGyrus	RTt2starFIT_rfusiformGyrus	RTs0FIT_rfusiformGyrus	RTecho2_FWE	RTcombinedTSNR_FWE	RTcombinedT2STAR_FWE	RTcombinedTE_FWE	RTcombinedRTt2star_FWE	RTt2starFIT_FWE	RTs0FIT_FWE	RTecho2_noFWE	RTcombinedTSNR_noFWE	RTcombinedT2STAR_noFWE	RTcombinedTE_noFWE	RTcombinedRTt2star_noFWE	RTt2starFIT_noFWE	RTs0FIT_noFWE	RTecho2_AND	RTcombinedTSNR_AND	RTcombinedT2STAR_AND	RTcombinedTE_AND	RTcombinedRTt2star_AND	RTt2starFIT_AND	RTs0FIT_AND	RTecho2_OR	RTcombinedTSNR_OR	RTcombinedT2STAR_OR	RTcombinedTE_OR	RTcombinedRTt2star_OR	RTt2starFIT_OR	RTs0FIT_OR
652308.0720546	646701.325933406	643527.912170615	611334.510391964	643485.945122088	52.296149999137	1174703.37091018	665814.786066297	667146.287282871	675686.9522402	599391.580287478	669874.95775216	39.0438918720455	1511743.38675881	664284.563485855	670374.520181248	671336.329087779	612509.451569301	669262.799827458	43.1521092945084	1387250.77240077	680038.670002694	678410.388501227	677739.526171548	625876.674776552	676662.919281922	41.3128922974533	1394299.89601905	669805.298150878	666960.784734131	666355.206078894	616472.019987642	665360.722723888	42.3091172147971	1373987.94415333	743017.182269905	737398.002699616	735721.016831234	683811.792403608	734274.228486734	44.2234657636475	1445926.62863307	684397.526853438	682287.387348051	681499.718498053	630102.117228155	680387.695034999	41.7986457520055	1394791.80760777
652440.510001889	646726.032744783	643541.514965713	611347.591811006	643527.065260202	52.3304859669226	1175041.62901173	668506.551488726	669715.316076764	679429.238274988	601668.00562356	674784.116607209	38.6307999384714	1542750.55783567	661335.613644783	667731.432762714	668497.538840866	610111.876658668	666640.938823538	43.1927374123309	1391226.96620661	679117.279577832	677318.245209798	676483.433460083	624870.01926971	675368.70834191	41.5062089175354	1390315.45781988	669305.292115919	666351.635586041	665642.292183879	615844.094573965	664677.531189501	42.3901506484106	1372535.89900049	741677.808283209	736225.574362583	734443.314572652	682739.800631551	732979.153811249	44.3890573671865	1441075.11797608	683578.80621299	681290.679674687	680347.070048135	629176.406752342	679205.197811469	41.9655377475127	1390903.51217337
652553.588336387	646873.426810765	643673.730174077	611554.585073002	643819.386092063	52.6583993723706	1172185.80213779	668348.681239372	668613.739581897	678949.686400292	600601.544454806	675060.556937223	38.1627125938729	1547473.32176109	663632.171303638	669543.045798301	670250.061295454	611606.065802216	668912.31056738	42.8733778114075	1398800.26716395	681267.176530932	679457.779111611	678624.405233256	626736.861464416	677853.749146179	41.377414451729	1398406.58287007	670379.424195639	667457.545210937	666734.579328491	616790.095205706	666057.959957746	42.3089277361414	1376822.36179841	744612.148028585	739186.782263925	737348.526439818	685266.304483747	736220.917821205	44.2449796509736	1451307.29441105	685738.587859362	683430.812426456	682494.467566545	631056.026639206	681691.099030037	41.860778623944	1398628.61866104
654230.077703212	648002.17844238	644832.226152774	612748.008081806	644692.896903106	52.6540992745588	1169627.82301302	666683.160611128	668004.169519439	677663.423547921	600306.534443906	672710.93600427	38.9070488174134	1526460.73281619	664038.470122852	669687.494280619	670423.477597639	612070.368740454	668545.379694581	43.4345790753206	1391730.1707371	681111.866799107	678836.766644521	678055.637027782	626317.018688382	677169.201162903	41.6459674803278	1406590.60569708	670559.36554985	667339.354283495	666660.991800228	616874.106973383	665864.058140884	42.5163409847831	1379971.17145215	743961.801161782	738039.166644389	736258.649075981	684437.95983298	734861.366576062	44.4125708444559	1447895.71408766	685705.185008369	682948.693775401	682060.631044655	630772.532844395	681120.682278478	42.1242127514302	1405602.18456115
650820.194525577	644978.26739226	641701.348055822	609641.062022715	641817.180934851	52.5670570569425	1172389.36635473	662446.244901788	663718.178024765	673737.556174659	595853.531206321	669949.776635763	37.9149447368344	1540702.20604305	663180.304183698	669548.258957908	670318.64234609	611597.472842847	669582.771450495	42.7549820674785	1405845.46537555	678934.234683271	677182.086328328	676118.882221423	624433.903804208	675702.712776943	41.3412070643779	1394615.2222452	668225.692049216	665400.897457542	664499.580479094	614764.637589116	664058.443703056	42.2516284474251	1371777.39344754	742651.272808285	737550.441617333	735587.195571065	683454.139582114	734847.614460996	44.0753917888832	1452298.21534574	683633.3154462	681370.809349574	680209.885939999	628976.908855915	679726.477653432	41.8165560974382	1395043.74954648
655030.8830155	648984.313020974	645802.318678206	613751.129967069	645688.049831691	52.5211828869754	1194312.96702635	667502.614182759	668392.669174886	678549.207049618	600678.649274435	674332.927738965	38.3569320066829	1536052.89802247	665284.935655253	670813.86915308	671510.002403921	613045.279048169	670254.921296227	43.1412886058148	1392955.18417826	681330.771886787	678834.869036537	677845.563164919	626178.505196913	677250.574019586	41.3310684492989	1396581.99478547	671555.931941598	668064.537417546	667245.27367375	617489.450732606	666584.800454561	42.3163633778529	1370710.74633085	745547.10110772	739483.596013887	737582.952536504	685555.787201806	736590.953123594	44.2690705993409	1452688.04947442	686109.561909651	683120.891331048	682035.92323646	630816.582451072	681369.974979355	41.850079265008	1396666.96562911
654234.426058806	648394.638572256	645180.441744598	613044.178214377	645221.957752501	52.676877765369	1169818.42383601	668411.274179854	669275.138927879	679509.61438562	601538.568507923	675201.802373135	38.4561418929209	1541890.30514569	666532.162863909	671970.924996084	672717.324553853	614210.421568616	670994.565886616	43.3302789382021	1400846.57715449	681492.097874796	679197.992399367	678294.221163091	626423.937507543	677566.323657878	41.3820707257497	1400811.24945317	671057.671317844	667796.527404391	667033.567802377	617135.992026201	666282.67793408	42.408846811707	1375828.59330074	745457.062611863	739425.583221786	737614.823618278	685465.364087567	736507.616003507	44.2426468958592	1453355.96800938	686066.253538081	683294.513035399	682290.435071373	630879.382615885	681515.767752109	41.8842520660254	1400810.12431525
653090.574964636	647480.337018023	644247.110517197	612336.549652723	644225.97322407	52.8148754740587	1190088.72419022	663780.73089608	664841.208858349	674353.57304991	596846.923406519	670412.32793722	38.2772597707124	1530210.52346186	663674.50940239	668754.834256288	669461.586728166	610942.741605664	667987.164563433	43.1359173801753	1388885.92309702	677809.664877458	675786.644373073	674853.152561935	623140.45320991	674237.509800835	41.0746586943234	1395044.73166681	668217.602652305	665126.868308536	664321.451115826	614573.099641806	663641.481543563	42.1462858943293	1371743.33801844	741486.793556158	735679.290367021	733803.5108245	681820.867639423	732847.471444176	44.0375280208697	1449727.46755897	682533.116944072	680011.031748756	678975.109912381	627716.399996565	678293.77505124	41.5941270385591	1395014.41079675
653157.109352613	647417.093111864	644165.125255852	612169.616475662	644021.9753226	52.7549337468352	1169582.32426546	665553.399544995	667078.376822265	676799.768470928	598821.143297971	672745.493301524	38.4737565171599	1553672.69520085	660933.691029459	666963.351728879	667716.399229034	609060.195422145	666590.374886318	42.9093672002697	1398275.19491736	676233.834918334	674381.818488252	673317.131254509	621696.220173989	672912.75712121	41.0257586434157	1395349.73831119	666976.143451353	663958.939768723	663055.53249635	613384.98212941	662578.113733151	42.1520787896177	1371479.03619465	738656.367660671	733455.410524094	731559.010614461	679554.298326811	730802.936686412	43.8612704828177	1447798.62473451	680995.807757613	678616.279922945	677441.332594468	626290.389110457	676944.161330748	41.5447126815453	1394790.35347195
654305.22821718	648516.582848846	645321.288056614	613420.645134711	644995.482954531	52.9653808113394	1184914.45116389	670212.267897573	671318.145268535	681239.730781774	603189.870011875	676428.450526657	38.6085978703886	1542541.37516377	664217.794973848	669414.774326176	670056.470522357	611582.542932698	668477.134772953	43.1447020001999	1394298.94120173	679266.751464712	677076.580009012	676016.204755235	624391.232629156	675281.49684016	41.3007811707098	1393814.14332249	670106.166643912	666794.483175582	665904.342949428	616203.382687749	665088.780861652	42.3323760195313	1372252.17828992	742876.511844841	737107.860336341	735184.038713986	683210.684715278	734107.604331291	44.0853149249142	1447860.76372794	683997.303423069	681299.751746272	680137.935907788	628959.248258253	679348.16630085	41.798829957686	1394253.61662249
