RTecho2_rleftMotor	RTcombinedTSNR_rleftMotor	RTcombinedT2STAR_rleftMotor	RTcombinedTE_rleftMotor	RTcombinedRTt2star_rleftMotor	RTt2starFIT_rleftMotor	RTs0FIT_rleftMotor	RTecho2_rbilateralAmygdala	RTcombinedTSNR_rbilateralAmygdala	RTcombinedT2STAR_rbilateralAmygdala	RTcombinedTE_rbilateralAmygdala	RTcombinedRTt2star_rbilateralAmygdala	RTt2starFIT_rbilateralAmygdala	RTs0FIT_rbilateralAmygdala	RTecho2_rfusiformGyrus	RTcombinedTSNR_rfusiformGyrus	RTcombinedT2STAR_rfusiformGyrus	RTcombinedTE_rfusiformGyrus	RTcombinedRTt2star_rfusiformGyrus	RTt2starFIT_rfusiformGyrus	RTs0FIT_rfusiformGyrus	RTecho2_FWE	RTcombinedTSNR_FWE	RTcombinedT2STAR_FWE	RTcombinedTE_FWE	RTcombinedRTt2star_FWE	RTt2starFIT_FWE	RTs0FIT_FWE	RTecho2_noFWE	RTcombinedTSNR_noFWE	RTcombinedT2STAR_noFWE	RTcombinedTE_noFWE	RTcombinedRTt2star_noFWE	RTt2starFIT_noFWE	RTs0FIT_noFWE	RTecho2_AND	RTcombinedTSNR_AND	RTcombinedT2STAR_AND	RTcombinedTE_AND	RTcombinedRTt2star_AND	RTt2starFIT_AND	RTs0FIT_AND	RTecho2_OR	RTcombinedTSNR_OR	RTcombinedT2STAR_OR	RTcombinedTE_OR	RTcombinedRTt2star_OR	RTt2starFIT_OR	RTs0FIT_OR
657890.784688424	652587.628166496	649285.485574497	617369.150996095	649247.690997441	52.7645085799162	1171101.26467574	689284.451598091	690176.267292331	700070.684157071	621622.605043343	693986.958034227	40.3752441265501	1560870.80351094	670546.113180632	676727.572572629	677795.996117468	618761.707677163	675894.529165514	43.1865169633759	1415768.11807106	648472.687661302	637359.544588958	633222.873094219	600862.162219168	633313.582489168	48.2889830813311	1209387.18723318	670969.363182453	660405.27829069	656833.899097634	622124.422871827	656930.934426602	48.5738763731072	1246675.78021518	692121.814845459	680126.071968638	673848.102361159	643736.295293586	673785.870689395	52.7508904965457	1212625.04449669	655786.048658398	644622.577477243	640537.93760106	608137.975950931	640682.689519464	48.6033195350719	1219823.70874111
657154.04622844	651953.802695527	648659.469486411	616723.281060114	648676.094513233	52.7619292554121	1171097.59168204	685198.267851354	686922.555531229	696072.408011439	617872.662959099	690755.598149184	40.1910679511857	1576963.32063412	668867.530890155	675021.955298216	676031.172481427	617154.585259644	674271.691302255	43.1455476347463	1403053.03582999	649184.842312348	637877.139875986	633753.15587308	601547.461282199	633513.010372361	48.4003435624131	1205597.38889133	671734.271836226	660878.35455046	657312.358771187	622741.320203031	657159.170299444	48.7453863090291	1244988.08752961	693176.918973763	681087.211030183	674833.157988785	644850.562992925	674577.607127234	53.0231083226864	1213323.61701579	656493.515438839	645086.87783019	641011.346150731	608763.371155322	640829.932656633	48.7140401435742	1216420.6223011
657945.855397668	652706.474077244	649422.900760396	617429.493719993	649213.665932697	53.1024170185379	1176059.32257617	695271.950174051	694735.514990526	705015.994166221	625618.909481665	699588.927804336	40.0950389466997	1612377.69021754	675487.877571966	680936.936904598	682102.234534139	623050.369181446	679731.759243826	43.5631031507647	1411113.18925802	652318.208321144	640520.401364571	636472.950502894	604388.009810517	635937.202829306	48.9959246441806	1209276.69215106	674908.366036889	663691.490363735	660183.391710592	625695.294022601	659694.134473125	49.2190590031993	1247674.03402019	696414.283053031	683901.888069794	677748.164599848	647939.859275443	677149.616341996	53.6806667086349	1214170.11027846	659513.558056315	647659.430983452	643648.873192705	611529.075082715	643168.691804894	49.3002646567242	1219875.48557166
662991.749964496	657626.899557089	654429.598711595	622429.342774725	653579.38131404	53.3786562397769	1176426.69986597	696211.240354354	695509.305011992	706314.126504834	626530.687311448	700550.121918835	40.2966985734145	1586803.76258885	676887.381675366	682326.877879661	683536.696773608	624506.344329705	680844.308687491	43.5469390083282	1429747.17530114	654419.430001023	642685.078941482	638733.088237333	606466.514171355	638080.534416591	48.8379107782452	1214772.96249705	676430.740748254	665325.522370376	661906.067009087	627259.314814697	661315.333205786	49.060368974123	1250949.74712914	698762.579002222	686261.852086657	680184.742044123	650194.504330488	679548.817762593	53.5260926235936	1221523.98974979	661465.68594653	649703.608643185	645786.133416155	613478.121650258	645218.362471565	49.1050259347596	1225676.54749779
660034.967131536	654703.872781285	651540.55182464	619459.828035171	650894.592947155	52.975672122217	1171980.45840173	686945.054501306	688493.54644756	698430.925672552	619313.643627155	693936.945832468	40.1128855308435	1596770.14678842	672737.949001984	678193.678286838	679387.599384886	620363.689138754	677278.23585872	43.1789973443267	1425442.73919526	650597.20433502	639183.855428744	635172.175625109	602837.898523943	634947.037854586	48.455778464115	1214709.937635	672599.930379247	661839.31928198	658374.622682743	623652.224224849	658219.932779935	48.7089850324148	1251705.6565412	694602.142691496	682323.114261498	676188.800758913	646135.211434872	675826.966296412	53.0934836954449	1219457.50075376	657706.932483358	646272.240951117	642308.070196934	609923.346967572	642161.357863344	48.7496330865941	1225298.73765799
656646.70521491	651833.66955868	648563.810517809	616515.082459031	648373.777236013	52.8332033572411	1176080.2490045	687513.041500783	688754.527598941	699242.401130368	619940.557081326	694162.369619166	39.6810039879296	1579897.85764096	668925.89008178	675352.691636103	676551.724680793	617165.54095796	675165.814478884	42.8543908126985	1429789.41119655	645260.412653125	634512.052211651	630350.607788119	598048.482797054	630605.455779613	48.0518353955499	1213707.95930884	667798.436269495	657614.99271669	654024.490483508	619307.647532735	654368.0049046	48.357975415935	1250829.0994147	689568.468860953	677948.72584642	671648.970481811	641561.54472238	671700.280891044	52.5704443520132	1217084.87980058	652529.04650126	641714.10266451	637612.181709929	605256.750210717	637917.386392588	48.377541945842	1223904.53556954
659039.447958292	653491.734778338	650296.808268505	618326.612070839	649920.756807667	52.6712482594681	1171529.39987123	687703.548474709	688808.995401196	699599.1647108	620138.160393108	695086.015058123	39.8114715341945	1596963.91678575	665865.969556901	672418.324557314	673405.67725533	614545.019779391	672197.245343696	42.9004994763816	1412726.07848339	646318.225593765	635524.466667226	631398.941077829	599083.934372056	631494.037313833	48.1209032965386	1206273.75401331	668416.49123945	658162.425097596	654598.758847537	619904.166078743	654782.795470225	48.3923541519013	1245165.82230522	690695.006822287	679087.148621335	672838.832999363	642698.828241068	672790.35218707	52.6096138842659	1212453.93125156	653500.270198681	642590.019350951	638520.362179682	606154.597408113	638679.637098906	48.4326570277702	1216488.77237125
655781.971502528	650923.078396724	647639.097721847	615683.279245349	647477.37766797	52.5732112287303	1170724.29445315	681923.877115972	684342.403025964	694392.518387388	615257.576914265	690708.776136256	39.7925881135373	1601169.75655138	664869.488564127	671178.13226113	672077.691764144	613310.096640464	671140.109854844	42.662026307694	1420533.29798867	644315.733029569	633580.355183604	629364.541556349	597038.180557405	629733.489819443	47.8488405678643	1211540.22848877	666726.95195647	656535.072671907	652891.431088822	618185.991159842	653324.338395363	48.1893259861781	1248884.36306963	688252.543280554	676631.797965221	670306.813968926	640141.690135635	670503.165242902	52.273559655164	1216582.89808848	651667.215524993	640801.637195261	636645.165360073	604272.033464237	637051.704962875	48.1876316131511	1221622.65693187
655044.714308694	650562.831352667	647223.889649883	615255.071108803	647346.075635693	52.360843858022	1173150.29131553	687770.113696614	689201.481938788	699593.912587824	620354.948024905	694649.691439119	39.7091813390738	1589422.38121359	664650.494916345	671478.470274385	672431.889156348	613342.813345949	671810.781265357	42.4971051677691	1415497.31623707	644754.230484403	634081.3243604	629826.00046173	597552.247441896	630244.730679167	48.0895892869745	1208458.8212424	667214.052315744	657022.45790201	653340.995950226	618685.55784938	653871.379056659	48.3727715230618	1247087.55363749	688954.162620327	677499.452081309	671130.332510056	640993.255031763	671340.187042632	52.4382476150514	1213360.53769308	652100.899368803	641261.514419509	637059.390312551	604748.493834496	637516.368692729	48.4170407399055	1217698.06986396
656899.768262652	651729.010859143	648473.491523749	616648.340173059	648176.821438705	52.6498277767215	1168281.38066844	687353.856309052	687904.983908415	698810.816731852	618918.334391062	695178.786419665	39.4251984608774	1607275.70187239	665409.841149313	671971.972332568	672865.54868807	613995.763423385	672030.555096878	42.8705985432585	1414862.02150056	644934.768103306	634192.522325922	630016.048527293	597708.875830803	630153.042834222	47.9203453699924	1207724.32566878	667345.113131394	657064.42600285	653458.34969912	618779.64873003	653701.958904546	48.2646566238415	1246335.71517977	688754.016534224	677275.065217104	670962.89339647	640842.077663885	671010.766620943	52.4484191251197	1213308.80464549	652256.803473131	641349.557610542	637230.532348029	604879.605064531	637422.538895706	48.2534551340495	1218393.96388209
654744.073356901	650032.840969691	646722.12229468	614782.083996735	646698.416355288	52.4491756611791	1171463.81054786	681435.684578945	683663.806971999	693626.440511098	614681.283592212	689447.127499174	39.6194819578161	1582030.0381119	664808.661169606	670996.494986748	671812.874380115	613126.101006768	670941.345342175	42.6883849421125	1422591.9345076	645911.257008926	635091.263715199	630891.152490333	598646.108535403	631093.10757232	48.0979670272862	1210139.78210638	667931.378878174	657672.441726168	654024.780621897	619406.7179779	654328.185751636	48.3657293119958	1247708.02046579	689739.177358578	678159.042317706	671851.097571882	641777.440839492	671884.481626591	52.6245867892631	1213489.40889694	653207.06668009	642245.5183493	638097.377940435	605811.598889299	638339.779193016	48.4112812484139	1219754.11347142
655085.524563023	650181.633248382	646885.920312952	615000.140799266	646858.163054473	52.5136516209254	1169662.80506898	683417.436997438	686372.216188287	696370.785471081	617267.809944485	691573.784388869	39.8132820661654	1578813.64554442	667349.332030843	673848.0683353	674850.217722565	615689.468099439	673838.364560368	42.8421560662023	1421918.94959931	646756.72355873	635783.33884762	631611.650210569	599379.187142297	631744.429708839	48.1375119558505	1212782.96909954	668822.805059759	658408.690427354	654785.530821174	620184.218900685	655028.950410096	48.4638618392265	1249352.80888832	690780.197759991	678967.481494775	672693.24860186	642640.22483222	672680.376831005	52.6196761315955	1217089.58758696	653982.336312834	642910.165615277	638785.744795173	606515.363811137	638967.586622238	48.4798124379299	1222621.21881365
655053.402996389	650740.262040764	647463.810288238	615562.354557388	647407.538199259	52.4165314616073	1166915.76801666	688345.582182702	689830.660178106	700358.495821506	620840.720817841	695578.839256879	39.7109795058178	1588816.92217183	668902.33855666	674989.401000517	675910.988234376	617122.251385266	674419.957874609	43.0441412869127	1412205.79088626	649591.528684799	638263.251300527	634155.908292348	602044.903747616	633874.740370248	48.6898948610178	1208364.82759545	671379.370464893	660652.529534992	657087.267895306	622578.533527306	656971.762985769	48.8915387755064	1245723.93686526	694042.212869125	682009.026368613	675802.655394664	645913.196985725	675399.145660953	53.2474803474972	1213176.58670935	656681.031178087	645255.571639968	641192.982420374	609038.233041046	640976.833548887	48.9895072846091	1217690.03057384
656075.28266272	651265.710518008	648002.24174224	616109.981738042	647726.231829973	52.8139861405636	1190365.69538892	689824.017688958	690473.824305676	700939.138532678	621492.047787776	695134.89092118	39.4204967893501	1589305.09769585	672665.544616949	678237.774618081	679292.969848985	620570.245313906	677273.065071634	43.4024825647435	1424621.56059698	653035.215815541	641423.63036846	637369.929127048	605200.587361688	636952.422298214	49.0493823192783	1218586.47630125	674412.356623139	663442.325647915	659919.262357091	625377.777429922	659620.790534639	49.1699086393977	1253090.26151768	698061.24742241	685540.87520128	679400.789609493	649511.015471349	678798.689454682	53.6716996272019	1219411.66569618	660018.094838535	648331.394042735	644316.464147421	612107.524885688	643977.338725654	49.3239274000247	1228403.92887429
656317.313193859	651239.716150172	647973.613474586	616020.651963397	647719.649197085	52.540430446964	1188812.60141898	686953.339209808	688292.938864565	697661.526452183	619238.909834934	691943.76931131	39.9589546752456	1567709.56932641	673731.25561432	679298.291254151	680517.652589547	621379.767250412	678136.902996537	43.2842521937995	1413452.81457754	653748.846468438	642004.171548671	638016.937546241	605862.132794557	637533.082752089	49.0694218148741	1217508.74553014	674698.663613104	663668.659943323	660193.528700609	625660.278957753	659859.730140807	49.1836321312519	1252032.75998239	698452.371626381	685853.512529413	679789.345960671	649949.687247185	679066.515981542	53.7218485372605	1219922.71090903	660606.494271793	648862.034878959	644904.90422305	612711.66913197	644516.852613358	49.3382056614744	1227545.4681246
657052.35056138	652258.770562801	649050.977658494	617212.686463296	648626.891598689	52.7315369384237	1183180.38158043	689346.264320822	690477.795676606	700988.447966076	621438.120892939	696165.264687325	39.6397922211596	1606474.7258601	672137.481347729	677842.012780913	678987.09014876	620061.059819196	677051.938137647	43.3818514104187	1425567.20909197	653329.272750183	641536.398801729	637545.789402187	605454.547196472	636921.743228137	48.978977862667	1213506.82584146	674581.981078318	663438.90299767	659970.459331079	625491.936446617	659520.886471031	49.1482568662027	1250261.50320963	697565.89480538	685043.232176313	678961.702426906	649165.317385765	678225.336807528	53.7266629533157	1215339.24782989	660214.57014262	648417.797848493	644465.718999808	612331.587627292	643926.813685649	49.2893417604733	1223409.58091231
657094.086019064	652899.801861051	649692.909669193	617837.280352408	649207.132817001	53.0909538720876	1186361.50849525	690711.467429584	691044.787924689	701856.181633679	622136.197849144	697434.506669138	39.7508590063688	1630285.42013294	672562.894748539	678239.680038481	679396.635689149	620586.714980654	677246.026678582	43.3835238460134	1408554.58161225	652916.784551627	641177.5166062	637161.8418511	604976.406757918	636734.049685632	49.0878358968425	1216884.17537425	674364.035434186	663330.557742797	659849.722398773	625305.338227617	659545.60336231	49.2353907436044	1251423.49422896	697149.815879522	684690.381572533	678574.186369692	648682.525970588	677992.915206199	53.7356990329238	1218753.88982685	659864.411514957	648122.140987193	644145.960143769	611925.545930931	643796.398733589	49.3694370380281	1226707.95393691
659217.270812922	654652.492914085	651463.47867671	619590.38323169	650762.936164289	53.0661139502063	1164626.22252602	683964.653877516	686276.38552679	696227.48468757	617378.09507991	691329.521811093	39.7152320970434	1589536.90673272	671258.717885131	676870.487285178	677963.250577722	619077.226804472	675839.69298113	43.2643241846498	1408726.18351552	653377.445048091	641730.845440747	637726.678692447	605542.468183659	637221.754079101	48.9820007364567	1213564.90927131	674396.497123529	663475.505385252	659995.333188407	625438.504740816	659635.148326151	49.1763086235714	1249193.56244434	698406.861494651	685806.787348148	679714.622245544	649807.576068192	679055.455500123	53.654887014597	1218646.1744407	660289.3128249	648632.324739573	644664.528150848	612444.22044309	644250.16846704	49.2864479415419	1224057.33434262
659845.52360047	654637.470602334	651471.031100443	619478.63910718	650835.402026907	52.925153356486	1174125.62296046	689513.007365733	690443.948915495	700916.066496905	621309.014070025	695773.833751924	39.5459986085633	1576230.16638255	670081.712111754	675990.669965262	677082.529908717	618027.970295103	675693.166611906	42.9809160975382	1438723.69951308	652235.490612554	640648.881504269	636595.967306313	604388.016674004	636217.763491697	48.7535409922211	1212630.39876468	673692.803907462	662769.853720517	659256.579625049	624645.079621576	659056.500669562	48.9337942842147	1250119.7058535	696968.680937218	684408.698158636	678276.659032903	648302.991968342	677741.520516721	53.4050090732467	1216474.02990718	659220.104715616	647593.478736456	643583.140671336	611325.400503821	643276.110034845	49.0586069288528	1221717.22291307
