RTecho2_rleftMotor	RTcombinedTSNR_rleftMotor	RTcombinedT2STAR_rleftMotor	RTcombinedTE_rleftMotor	RTcombinedRTt2star_rleftMotor	RTt2starFIT_rleftMotor	RTs0FIT_rleftMotor	RTecho2_rbilateralAmygdala	RTcombinedTSNR_rbilateralAmygdala	RTcombinedT2STAR_rbilateralAmygdala	RTcombinedTE_rbilateralAmygdala	RTcombinedRTt2star_rbilateralAmygdala	RTt2starFIT_rbilateralAmygdala	RTs0FIT_rbilateralAmygdala	RTecho2_rfusiformGyrus	RTcombinedTSNR_rfusiformGyrus	RTcombinedT2STAR_rfusiformGyrus	RTcombinedTE_rfusiformGyrus	RTcombinedRTt2star_rfusiformGyrus	RTt2starFIT_rfusiformGyrus	RTs0FIT_rfusiformGyrus	RTecho2_FWE	RTcombinedTSNR_FWE	RTcombinedT2STAR_FWE	RTcombinedTE_FWE	RTcombinedRTt2star_FWE	RTt2starFIT_FWE	RTs0FIT_FWE	RTecho2_noFWE	RTcombinedTSNR_noFWE	RTcombinedT2STAR_noFWE	RTcombinedTE_noFWE	RTcombinedRTt2star_noFWE	RTt2starFIT_noFWE	RTs0FIT_noFWE	RTecho2_AND	RTcombinedTSNR_AND	RTcombinedT2STAR_AND	RTcombinedTE_AND	RTcombinedRTt2star_AND	RTt2starFIT_AND	RTs0FIT_AND	RTecho2_OR	RTcombinedTSNR_OR	RTcombinedT2STAR_OR	RTcombinedTE_OR	RTcombinedRTt2star_OR	RTt2starFIT_OR	RTs0FIT_OR
662505.087633359	656486.113247931	653282.65734927	620464.74169687	653710.417743647	52.5725338298233	1202183.0256908	687773.638539089	689576.399487512	700019.898180808	619135.237467711	696471.066755602	38.5460955923275	1609515.43478713	676579.232993024	682865.572573623	683618.473077802	623568.140446495	682696.145576186	42.7249135050753	1431666.24459731	684967.653924762	672407.419609623	671060.162367224	637907.648304445	671196.927141245	50.271238841042	1241707.68718494	715387.794425286	705031.494799249	703412.544584993	664832.007066973	703483.001219266	49.0736719969134	1322397.22393992	695431.734032522	683186.867619688	681001.079876384	648410.221589079	681140.092161997	51.7257987234072	1230780.04092701	690142.166905411	677038.14446983	676054.753543605	642840.083370634	676100.917498309	50.2833893905804	1249755.76555763
663136.566791791	656836.762777529	653645.269637287	620770.550105371	654087.105287987	52.4402428199324	1203600.69040657	682173.553022962	683485.040790671	693048.151181436	612908.881678546	689747.881108874	38.4049794644339	1596200.35253379	676000.679764558	681816.986688065	682490.369904616	622662.264495976	681701.188603125	42.7027250450516	1425616.29172745	684943.336864905	672356.059048469	671018.759072979	637871.785211933	671137.666659046	50.1884793090603	1237873.80547042	715757.900940075	705437.999216746	703798.933595654	665277.427929206	703814.021326864	49.0428297703633	1319913.07456211	695396.286649976	683037.473825721	680873.624050293	648277.54733725	681006.106587942	51.6425908799132	1229183.0193754	690150.164396174	677016.692977824	676041.630323676	642838.959959744	676066.314456285	50.2040493432362	1246096.83675445
661816.915772483	655929.661051995	652688.960436119	619826.461796548	653409.772263809	52.3592906461469	1201169.4416394	682637.268145093	683924.86784409	693970.665552571	613541.576955905	690302.864982513	38.3770073502109	1590120.53981039	678336.61160176	684420.738444935	685202.638003926	625131.706456848	684370.734358488	43.0137045582189	1437694.18149405	685434.141235552	673056.273717292	671678.048843584	638545.417568112	671861.216837413	50.247527831761	1238622.64468837	717254.247798202	706904.704721522	705224.428051699	666754.367314491	705161.735103623	49.1393780599698	1322109.79244136	696248.324822686	684107.456036026	681911.442193253	649337.334161742	682078.261324152	51.7504330763517	1230584.26125344	690761.720980171	677796.216493977	676783.543488225	643578.963581236	676857.063487678	50.2402476323075	1246656.04052864
663797.871805084	657777.108287949	654611.879787261	621822.267721353	654844.186904375	52.5998316879412	1199494.13168243	683826.502926343	685393.996019609	695764.362707125	615157.077807401	692375.811236928	38.5439807022602	1592864.97993349	676891.435900291	683110.433511935	683821.136746195	623885.011499461	683141.201762657	42.8574958088485	1438511.22778205	688918.512898262	676155.391759533	674870.792422381	641854.144047193	674567.886394625	50.6686838526318	1236579.88985005	719883.387295353	709301.905670113	707712.557091364	669330.533272807	707257.190189874	49.515940340588	1318273.45610117	699846.079858075	687292.577562261	685180.933443932	652720.756138596	684902.294647858	52.168076569684	1228823.73322337	694004.554935321	680692.137016812	679768.922096741	646675.021387839	679404.207108326	50.6570490578631	1244796.98168485
663873.409134496	657612.593212763	654453.545060799	621632.662938214	654651.221384769	52.6170453063584	1196822.07379645	677925.553276426	680876.555582641	690432.460171834	610443.067685548	687177.370762764	38.439507246519	1581726.8291799	675917.678775896	681177.447328834	681795.120734893	622038.232974857	681046.652560282	42.6165447891366	1420817.22132933	687867.860281439	674928.157944185	673649.693754137	640570.903414287	673459.466765113	50.6105505710621	1235691.14009128	718158.373315629	707463.200100153	705853.65142776	667445.533594238	705610.299482259	49.3950028974162	1318446.87432374	698479.744612942	685658.076548327	683561.505646941	651058.471537138	683383.812116438	52.0889242700128	1226878.81874835	692988.733933644	679521.402775736	678600.992034156	645451.262208127	678344.130250233	50.5900787133946	1244022.53163691
663341.450879536	657597.71922588	654448.016709251	621532.560425401	654765.460827162	52.4218411225211	1206131.5328189	683659.726601535	685497.864621499	695577.59643676	615131.258485705	692134.112026667	38.7498375285317	1610463.78822468	675949.409951308	682099.100991677	682836.44859611	622584.749611824	682598.383871774	42.5131161934032	1454888.35418692	686411.384480399	674015.041524457	672716.132799422	639495.407134544	672713.128505855	50.1978707301766	1244737.98706675	716124.763041329	706002.68219452	704396.774016699	665714.51349293	704404.060850442	48.9279508936025	1323729.11464374	696830.885072542	684695.707072785	682573.559883709	649951.870899739	682567.647937478	51.7287115628723	1232505.9445676	691567.68312792	678641.605322022	677703.8708	644406.239748978	677626.67876278	50.1850354265895	1251739.04214565
661767.079598154	655802.035619093	652586.374140674	619603.910899421	653384.622906716	52.2257207794833	1208196.06364441	681140.308933553	682383.317220774	692834.156895109	612397.391711106	689534.900248485	38.4383337625856	1586362.97084069	671797.776763366	678489.269192074	679033.461092734	619263.855594107	678610.84366783	42.6048192849877	1429843.41411619	682571.379138471	670453.828989949	669097.378567975	635862.067389464	669467.357690886	49.9583582554205	1240399.01143695	711551.570021151	701852.084808629	700173.846114124	661533.292492316	700628.77319252	48.6827257310339	1321903.24682042	693365.679757008	681454.806564351	679275.257856758	646612.003269758	679563.226525124	51.458185700826	1229186.90832328	687689.191133759	675051.329531281	674057.252975549	640753.398520041	674345.329389255	49.9456034755182	1246935.34451135
660742.342772033	655278.576816324	651945.514145719	619261.05161417	652661.357456295	52.3719273337256	1213907.04905132	676637.039789025	678831.099653654	687726.313183998	607930.869291159	684519.948611483	38.2046385550551	1584533.01749019	669408.860530326	676372.657702832	676897.34760866	616897.440184942	677242.484348068	42.3041037495546	1430145.16418404	682341.793733986	670094.906901226	668664.070542019	635560.165090227	669089.972277906	50.0083995705772	1244498.00443026	711182.195335564	701431.251659201	699651.827268571	661219.76671096	700096.508504356	48.7852291067324	1320817.10149216	693398.695730596	681160.933807604	678922.520080404	646339.171229261	679277.347710182	51.509013857196	1233367.49418608	687511.914358068	674773.28525628	673710.812437122	640536.675154901	674042.355690856	50.0126984947779	1250154.86754964
662207.321154647	656302.429393915	652996.499095969	620345.319102741	653329.338503273	52.4923020493672	1204598.77740306	682005.238403562	683340.13071548	693401.448682343	612630.097365561	690718.853056566	38.5454245775426	1612488.71788192	669855.910767387	677009.342028025	677491.502231082	617711.791489724	677546.655248781	42.4969019488211	1431126.29098118	683435.159271213	671193.513360598	669773.823135332	636714.242460328	669814.995237587	50.1102878174664	1237134.12002823	712821.237349512	703080.267610277	701341.835565562	662871.854207983	701477.11284364	48.8966039969676	1317321.98385079	694557.743655902	682381.987612746	680153.684720939	647623.293158199	680231.325920602	51.6908343477794	1227754.86331825	688525.696420158	675815.998344273	674763.325794874	641629.24974823	674748.245908467	50.0997173254529	1243889.56034247
660262.794720564	655012.084904275	651676.553897386	618934.094643683	652349.810011314	52.3059668156618	1208017.02742485	680460.227241602	682501.51102544	692304.610722651	611897.186047726	688976.881471205	38.2456992275444	1589332.16520661	670823.518001186	677364.960526587	677927.428527829	617952.255860737	678069.988854285	42.4246535450493	1447675.13563534	682442.392951056	670332.85703408	668904.086410908	635789.629551721	669236.978094547	50.0794277614302	1241164.55384495	710965.833825741	701314.387160398	699553.226400213	661062.406713962	699970.416180589	48.8086722882773	1318843.22680313	693634.535168052	681658.843480112	679420.701323724	646843.598272904	679645.582355783	51.5653533177172	1229661.77957092	687521.286031136	674931.766695578	673872.581400061	640679.081281846	674132.097317069	50.0637482881504	1248263.55287573
