RTecho2_rleftMotor	RTcombinedTSNR_rleftMotor	RTcombinedT2STAR_rleftMotor	RTcombinedTE_rleftMotor	RTcombinedRTt2star_rleftMotor	RTt2starFIT_rleftMotor	RTs0FIT_rleftMotor	RTecho2_rbilateralAmygdala	RTcombinedTSNR_rbilateralAmygdala	RTcombinedT2STAR_rbilateralAmygdala	RTcombinedTE_rbilateralAmygdala	RTcombinedRTt2star_rbilateralAmygdala	RTt2starFIT_rbilateralAmygdala	RTs0FIT_rbilateralAmygdala	RTecho2_rfusiformGyrus	RTcombinedTSNR_rfusiformGyrus	RTcombinedT2STAR_rfusiformGyrus	RTcombinedTE_rfusiformGyrus	RTcombinedRTt2star_rfusiformGyrus	RTt2starFIT_rfusiformGyrus	RTs0FIT_rfusiformGyrus	RTecho2_FWE	RTcombinedTSNR_FWE	RTcombinedT2STAR_FWE	RTcombinedTE_FWE	RTcombinedRTt2star_FWE	RTt2starFIT_FWE	RTs0FIT_FWE	RTecho2_noFWE	RTcombinedTSNR_noFWE	RTcombinedT2STAR_noFWE	RTcombinedTE_noFWE	RTcombinedRTt2star_noFWE	RTt2starFIT_noFWE	RTs0FIT_noFWE	RTecho2_AND	RTcombinedTSNR_AND	RTcombinedT2STAR_AND	RTcombinedTE_AND	RTcombinedRTt2star_AND	RTt2starFIT_AND	RTs0FIT_AND	RTecho2_OR	RTcombinedTSNR_OR	RTcombinedT2STAR_OR	RTcombinedTE_OR	RTcombinedRTt2star_OR	RTt2starFIT_OR	RTs0FIT_OR
584834.701807199	591788.69832126	583092.748353614	551227.977279584	581608.210637015	48.681819116063	1178540.29897178	602326.085088664	615229.08799772	612813.61758463	547162.923341883	609907.602210819	38.1782967790666	1363968.39632889	597147.722695993	620918.458616528	622303.893797941	548955.397711412	618770.799036604	38.7469253045106	1456852.08350364	643730.265273479	635477.667220571	625045.558356246	597112.689568622	625709.934881847	50.0172759544615	1165831.58683617	632184.032971612	624008.924733991	614777.351402729	585509.098875449	615482.954346864	48.6376623371572	1175265.6765427	691641.272152623	687736.455981688	675738.972343202	645857.40987639	675636.905645084	53.230026934547	1204811.2619545	642925.905371073	636430.840921244	626145.774330298	595817.705592889	627031.020605439	49.8559029104362	1187596.79198981
586274.286771152	593127.405287927	584511.55861958	552399.058298992	583408.191447732	48.708040911447	1182963.65978988	601201.394769278	614231.319352981	611803.484873434	544825.049862683	609659.163103796	37.1695131472552	1382486.6475129	592512.544523434	617013.482298754	617118.172409145	544854.719994056	614497.540191195	38.4680740908241	1418924.86827806	641379.350332022	633634.440931881	622993.922071811	594749.184668267	624048.31153646	49.7338996629743	1167087.02600122	630441.162271739	622806.852368309	613357.557041966	583735.985175485	614457.627598259	48.3196901380145	1176062.07843406	689545.177830084	686251.441080046	674086.686909778	643955.169881438	674181.110025802	52.8990193848668	1205894.59379568	640427.784713718	634571.384219733	624092.154674692	593423.178083517	625438.656425054	49.5569018734135	1189266.98154915
571426.472855008	579103.058123516	570041.714961285	538751.16227237	569985.63605669	48.5979619914919	1186027.05048331	596276.952233773	609119.109280005	606854.997035383	540036.220404019	605790.612178335	36.9980028251717	1382278.10242849	591676.32796984	616029.277780686	616146.872301124	543722.131917368	614006.398209224	38.2661089171687	1425267.20888594	634661.75215883	627717.719123925	616834.059610337	588480.219529008	618373.942559163	49.0553768164341	1164092.11546321	625082.526445635	617909.189020254	608263.002532172	578614.317936867	609761.062259792	47.8700370012124	1172480.46479897	682400.233108457	680455.973114039	668010.610411726	637843.634868238	668712.900616036	52.3388802869894	1206082.63955326	633838.553913868	628753.317836119	618052.640927851	587302.629474007	619866.836024666	48.9771827758163	1185512.87132298
579707.736710621	586857.885436896	578115.039456197	546398.143985027	577100.914428519	48.5162949625377	1188111.65700375	598516.979241974	611242.32011248	608866.366868868	541883.792116689	608750.066899606	37.0590502394518	1429213.78744895	589036.805642275	613572.877506895	613858.794674045	541157.172416301	612115.655167347	38.0218288448482	1441467.03235796	633881.539656166	626807.933057695	615972.880205417	587733.181585861	617401.029967266	48.8464147700732	1159885.59479404	624578.832430005	617326.14046245	607736.114588267	578156.366235384	609107.501952368	47.7535476163447	1169634.7604855	681237.338661725	679290.65488374	666917.16714268	636796.998591695	667538.587395079	52.1991752055772	1203087.26124038	633113.24781293	627933.644992767	617279.497086968	586639.402955054	618959.934502319	48.7749769562806	1182598.77063059
571382.94853926	579061.151194516	570128.239380008	538414.278527035	569702.075273757	47.8874329466865	1152705.73667169	595959.732226277	609238.223031604	606853.247331835	539915.873860629	605962.606972456	36.9424972175795	1403763.38182317	584260.329518101	609236.04031261	609638.354496337	536910.210991767	607819.855284633	37.7252721656915	1422013.62333443	627795.850402199	621225.282834952	610207.703555131	581759.448383242	612290.541041203	48.1380227875805	1166122.93916733	619057.048890116	612339.645955558	602588.389919722	572816.352480706	604507.916732233	46.9517835797407	1173629.66159185	674433.211494064	673219.755386944	660599.432453979	630262.39995251	661908.286558203	51.3052912093886	1209433.79972674	627339.814531063	622709.813259769	611883.344861759	581054.34040357	614180.361879881	48.1009410000073	1187203.70044841
571275.631455616	579866.027339628	570927.887118727	539266.601119818	570380.066326433	48.1066786033682	1199230.21290377	588010.954582344	601418.999110647	599266.340083045	532554.968402213	599979.32315952	36.7162594735467	1429441.89496818	579535.88020525	605106.92489995	604916.447285985	532611.62907688	604339.463672432	37.4809611504177	1451755.84860858	625494.868563431	619236.697528131	608158.409560268	579684.415891199	610425.781518164	47.9347800808111	1162402.91572585	616810.689123623	610441.440502987	600638.33442811	570863.865869418	602756.137463795	46.899244974163	1171942.23484587	671205.218916354	670171.556508628	657461.591923092	627082.059588551	659001.954615965	50.9698302041706	1205342.4903052	625184.013943257	620840.859949785	609945.016319896	579106.547587335	612377.830267782	47.9259815019545	1184100.22839573
567496.687073794	575423.309174138	566205.228545097	535129.851152316	566214.709280669	48.0931323078679	1154412.08886421	588212.608781321	601421.815956798	598459.23479238	531856.667320494	598516.047967708	36.8665048874459	1386130.04477697	581547.359891874	607733.041635724	607083.355644815	534760.317167778	606842.866379851	37.650702408944	1430235.90827248	626127.804304408	619718.522004668	608698.990198352	580426.275444802	610669.898875401	48.1640771440579	1160772.20001968	617851.586621319	611198.798263825	601433.966027577	571838.907841484	603227.807608924	47.0828826669314	1171004.73268531	672339.2254323	671406.939088922	658756.153495454	628536.272294264	660047.62660853	51.3050282155528	1200174.68300875	626006.635730272	621473.652135179	610629.623277898	580007.649287231	612746.177819305	48.1669474161234	1181205.8776989
573902.943157709	581525.95594847	572559.866138934	541326.992008933	571797.531738996	48.5818036204574	1184632.04473915	592292.076238796	604385.27028495	601694.116452065	534859.560952994	601981.983966521	37.038841588966	1392048.29260938	580530.301450597	606379.576457983	606005.785966908	533644.747340539	605307.732601631	37.5669155585295	1429747.30613938	630426.181266636	623400.172488729	612444.541254011	584255.248223113	614236.874462122	48.5262698917597	1166224.30831683	621197.176199732	614029.850411008	604313.722919546	574778.806987135	605965.491736238	47.4304823537724	1171341.00485878	676427.196529968	675164.677415342	662635.365198246	632532.295749368	663604.159744939	51.8401907229262	1207336.83779023	629815.113257506	624771.888573287	613990.086681929	583441.658899945	615913.49264958	48.5440152028133	1185896.41948109
571011.363381902	578766.362222012	569837.296541467	538693.399727311	569196.616141344	48.4528526741271	1195727.97438572	596630.444827123	607666.253724083	604898.712108917	538026.641309329	604269.274930469	37.1425160142103	1388653.81082131	580856.712881024	606519.524498875	606256.26774417	533850.313156488	605109.49274491	37.9712018777435	1422373.75534594	630495.501493502	623589.842123947	612667.166344527	584480.005322678	614260.849262145	48.5256688041447	1169484.64930764	621647.661120666	614497.996163408	604831.243077253	575313.302439874	606203.134823703	47.4444433961224	1173731.40914973	676067.568272735	675227.072106202	662705.964308415	632583.091746348	663610.631123134	51.8064416099744	1209096.49664236	630260.272722374	625269.290890888	614529.846150321	583996.567866967	616150.118144713	48.5673503817436	1187653.19566375
573592.45599569	581826.786628249	572944.479638047	541389.001358132	572244.165027231	48.3635754759493	1184837.42096477	592681.942709912	604762.208764566	601939.222464044	534832.47246454	602059.782157815	36.8367387078519	1394630.35873142	577174.223466331	603546.37853726	603135.739032042	530658.382778234	602952.874886092	37.4687966738449	1445647.18550222	628061.560328035	621259.127299617	610283.145964507	581919.572804148	612083.198402609	48.2813252591584	1168622.53384795	619399.774002898	612491.171439414	602786.849495009	573075.435177782	604310.101560957	47.1484976915113	1175038.23670618	673318.363699261	672290.357782526	659721.162767524	629459.301205385	660849.478942895	51.4105751045843	1203445.12733642	627697.74974933	622860.584094097	612073.005882278	581357.112395699	613918.849025508	48.2971556784786	1187491.06613306
